,address,year,day,length,weight,count,looped,neighbors,income,label
0,112Ns49UobQn1cX1G1axs1cmGvjFBxVxvf,2016,146,144,0.877484787,4817,0,1,104020000,montrealCryptXXX
1,112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,158,56,3.05E-05,1,0,1,120000000,montrealCryptXXX
2,112wED5uHhY1aiSaWAzgeMDaCKFcCvj9Pn,2016,156,8,0.75,2,0,4,240000000,montrealCryptXXX
3,113ESVqntvYprqQbsPN6tEmtE1bB44uokS,2016,155,6,0.5,6,0,2,120000000,montrealCryptXXX
4,114gGmini5G9hEwEkWtKXoQqT1D6S5AJvU,2016,137,0,1,1,0,2,119990000,montrealCryptXXX
5,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,182,2,0.5,1,0,1,122000000,montrealCryptXXX
6,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,168,144,0.407676468,3060,0,2,120000000,montrealCryptXXX
7,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,163,4,0.333333333,1,0,2,120000000,montrealCryptXXX
8,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,160,144,0.148448867,4309,0,2,119989395,montrealCryptXXX
9,115ncTmF1r86UqNVNiuTbSrg36C9WpbQyg,2016,161,0,0.2,1,0,2,120000000,montrealCryptXXX
10,11mBErpPx1pJNQyLnZDoNwVxhqTwTeHfU,2016,158,0,1,1,0,2,120000000,montrealCryptXXX
11,11mBErpPx1pJNQyLnZDoNwVxhqTwTeHfU,2016,135,8,0.03125,1,0,2,120000000,montrealCryptXXX
12,121P5TiHimHace3ZNuXU4hde9kWqPE1jHC,2016,161,0,0.5,1,0,2,120000000,montrealCryptXXX
13,1223GLPpMTKXxyGg3WcHpRsPD4JGa7cXVk,2016,160,6,0.0625,1,0,4,240000000,montrealCryptXXX
14,123bzPBEJK2N9aoTAU7TRqLbwzmFWq89S7,2016,160,4,0.5,1,0,2,120000000,montrealCryptXXX
15,1246v8SAeajt6k3QFVzp4My8U13PLZTyV4,2016,160,144,0.960834983,4820,10,2,59895323,montrealCryptXXX
16,124cUCq1tkYhFf39NAnN6dYRwkLrvBNLAx,2016,137,144,0.988094059,5659,2973,2,71248142,montrealCryptXXX
17,124mKpjUJzXQ4PBZF3bnGKdYmDYhZaZKb6,2016,159,36,0.015625,1,0,1,120000000,montrealCryptXXX
18,124srvGnUNzg1AAiXYgoQj2PwocehAJLX9,2016,155,0,1,1,0,2,120000000,montrealCryptXXX
19,124srvGnUNzg1AAiXYgoQj2PwocehAJLX9,2016,160,2,0.5,1,0,2,120000000,montrealCryptXXX
20,1251GTBafwFoEKc9XffTnaGAhyM1V1op3G,2016,161,0,0.5,1,0,2,120050000,montrealCryptXXX
21,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,138,44,0.25,1,0,2,120000000,montrealCryptXXX
22,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,145,0,0.5,1,0,2,120000000,montrealCryptXXX
23,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,133,122,0.000489235,5,0,2,120000000,montrealCryptXXX
24,125DiUeg9dQ4LXfTJRYaSafYAbWPawooEd,2016,134,74,4.77E-07,1,0,2,120000000,montrealCryptXXX
25,125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,137,44,1.53E-05,1,0,2,120000000,montrealCryptXXX
26,125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,140,0,0.25,1,0,2,120000000,montrealCryptXXX
27,125earjdxmmE8Yhszv4dqmrH3jUzSG9DJH,2016,134,2,0.666666667,2,0,4,240000000,montrealCryptXXX
28,126QgMcdZormJkN9ukFCtBLrftzTCy7UdE,2016,168,0,0.5,1,0,2,120000000,montrealCryptXXX
29,12addFeCpU2ZPoHK26Pv8wZ3A7nuxDp1sk,2016,160,144,0.60918947,1265,0,2,120000000,montrealCryptXXX
30,12addFeCpU2ZPoHK26Pv8wZ3A7nuxDp1sk,2016,169,28,0.001953125,1,0,2,240000000,montrealCryptXXX
31,12afJVxkHxYQ7sjp7uMuC8vnY4kmTKxAMH,2016,176,144,0.388529408,5952,1702,1,120000000,montrealCryptXXX
32,12afJVxkHxYQ7sjp7uMuC8vnY4kmTKxAMH,2016,175,0,1,1,0,2,120000000,montrealCryptXXX
33,12bwGmoaJ3sMhK8t6m3MZr4syRBSUpzYZV,2016,146,144,0.138341477,4726,0,1,112676003,montrealCryptXXX
34,12c77V7e7fTcbtzDtybGPyUWnDYSn3LLEr,2016,218,4,0.25,1,0,2,120000000,montrealCryptXXX
35,12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,151,0,0.5,1,0,2,240000000,montrealCryptXXX
36,12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,166,0,0.5,1,0,2,120000000,montrealCryptXXX
37,12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,158,0,1,1,0,2,120000000,montrealCryptXXX
38,12cFm9z7zqVBgJphn84uKrJJ8731vXRche,2016,146,12,0.125,1,0,2,120000000,montrealCryptXXX
39,12cPaVhJE6vnc9zPq2by1uGYAVAwU7X7aR,2016,172,46,0.000488281,1,0,2,120000000,montrealCryptXXX
40,12cPaVhJE6vnc9zPq2by1uGYAVAwU7X7aR,2016,162,0,0.5,1,0,2,120000000,montrealCryptXXX
41,12cPaVhJE6vnc9zPq2by1uGYAVAwU7X7aR,2016,161,4,0.125,1,0,2,120000000,montrealCryptXXX
42,12CxqYzqvkuPL4V6DepUEQ2v4rzfXWaShp,2016,207,50,7.63E-06,2,0,2,120000000,montrealCryptXXX
43,12dATMMt4raubJ9MJSpNMwHQWZFFggemCC,2016,198,36,0.000488281,1,0,2,120000000,montrealCryptXXX
44,12dATMMt4raubJ9MJSpNMwHQWZFFggemCC,2016,202,0,0.125,1,0,2,120000000,montrealCryptXXX
45,12DcPs8ebvSUnAHk8HeXLPcSAATvYhvV2A,2016,141,26,0.000244141,1,0,2,120000000,montrealCryptXXX
46,12efPCBfCeMGzT7mBTRNmiH5pn8WpPt9xP,2016,149,6,0.666710069,5,0,2,120000000,montrealCryptXXX
